"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","EmailAddress","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","HealthData","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.Family Medical History","","","","Family Medical History","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","Location","High","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","MedicalHistory","Medium","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.Family Medical History","","","","Family Medical History","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","MedicalHistory","High","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.Medical History","","","","Medical History","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","Name","High","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","Name","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.credit_card_number","","","","credit_card_number","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.credit_card_number","","","","credit_card_number","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-4-json/.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-2-json/","DateOfBirth","","","","","","","denisolt-test-bucket","","dataset-2-json/.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-2-json/","Name","","REST API","","","","","denisolt-test-bucket","","dataset-2-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-2-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-2-json/.credit_card_number","","","","credit_card_number","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-2-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-2-json/.credit_card_number","","","","credit_card_number","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-2-json/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","dataset-2-json/.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","DateOfBirth","","","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","DateOfBirth","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Family","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Family","High","REST API","","","","","denisolt-test-bucket","","root-level.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","HealthData","High","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.attributes","","","","attributes","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","HealthData","High","REST API","","","","","denisolt-test-bucket","","root-level.parquet.attributes","","","","attributes","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Height","High","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Height","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Location","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Location","Medium","REST API","","","","","denisolt-test-bucket","","root-level.parquet.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Name","Medium","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Name","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Name","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Name","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Name","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Name","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.credit_card_number","","","","credit_card_number","Likely"
